GEOID20_0KM,AREAID
370499613023014,110538231124
370499613032000,110538231124
370499613032018,110538231124
370499613032019,110538231124
370499613032020,110538231124
370499613032022,110538231124
511990511001017,1101112546886
511990511001013,1101112546886
511990511001000,1101112546886
511990510004026,1101112546886
511990510004025,1101112546886
511990510004024,1101112546886
511990510004008,1101112546886
511990510003019,1101112546886
511990510003012,1101112546886
511990510003011,1101112546886
511990510003009,1101112546886
511990510003008,1101112546886
511990510003007,1101112546886
511990510003006,1101112546886
511990510003005,1101112546886
511990510003004,1101112546886
511990510003003,1101112546886
511990510003002,1101112546886
370559705011329,1102153172612
370559705011328,1102153172612
370559705011327,1102153172612
370559705011326,1102153172612
370559705011325,1102153172612
370559705011324,1102153172612
370559705011323,1102153172612
370559705011322,1102153172612
370559705011321,1102153172612
370559705011320,1102153172612
370559705011319,1102153172612
370559705011318,1102153172612
370559705024007,110409720475
370559705024006,110409720475
370559705024005,110409720475
370559705024004,110409720475
370559705024002,110409720475
370559705024001,110409720475
370559705024000,110409720475
370499612021085,110538231124
370499612021086,110538231124
370499612021087,110538231124
370499612021084,110538231124
370499612021083,110538231124
370499612021082,110538231124
370499612021091,110538231124
370499612021092,110538231124
370499612021093,110538231124
370499612021094,110538231124
370499612021081,110538231124
370499612021080,110538231124
370499612021079,110538231124
370499612021078,110538231124
370499612021077,110538231124
370499612021076,110538231124
370499612021075,110538231124
370499612021074,110538231124
370499612021073,110538231124
370499613032023,110538231124
370499613032025,110538231124
370499613032027,110538231124
370499613032030,110538231124
370499613032036,110538231124
370499613032037,110538231124
370499613032038,110538231124
370499613032039,110538231124
370499613032040,110538231124
370499613032041,110538231124
370499613032046,110538231124
370499613032048,110538231124
370499612011034,110538231124
370499612011033,110538231124
370499612011032,110538231124
370499612011031,110538231124
370499612011030,110538231124
370499612011029,110538231124
370499612011028,110538231124
370499612011027,110538231124
370499612011026,110538231124
370499612011025,110538231124
370499612011024,110538231124
370499612011023,110538231124
370499612011022,110538231124
370499612011020,110538231124
370499612011019,110538231124
370499612011018,110538231124
370499612011017,110538231124
370499612011016,110538231124
370499612011015,110538231124
370499612011014,110538231124
370499612011006,110538231124
370499612011005,110538231124
370499612011004,110538231124
370499612011003,110538231124
370499612011002,110538231124
370499612011001,110538231124
370499612011000,110538231124
370499611021023,110538231124
370499611021016,110538231124
370499611021000,110538231124
370499611012036,110538231124
370499611012032,110538231124
370499611012026,110538231124
370499611012019,110538231124
370499611012011,110538231124
370499611012010,110538231124
370499611012007,110538231124
370499611012003,110538231124
370499611012002,110538231124
370499611012001,110538231124
370499611012000,110538231124
517100008002013,110763374868
517100009015005,110763374868
517100009021016,110763374868
517100009021041,110763374868
517100009021042,110763374868
517100009021043,110763374868
517100009021044,110763374868
517100009021045,110763374868
517100009021046,110763374868
370499612021072,110538231124
370499612021071,110538231124
370499612021070,110538231124
370499612021069,110538231124
370499612021068,110538231124
370499612021067,110538231124
370499612021066,110538231124
370499612021065,110538231124
370499612021064,110538231124
370499612021063,110538231124
370499612021062,110538231124
370499612021061,110538231124
370499612021060,110538231124
370499612021059,110538231124
370499612021058,110538231124
370499612021057,110538231124
370499612021056,110538231124
370499612021055,110538231124
370499612021054,110538231124
370499612021053,110538231124
370499612021052,110538231124
370499612021051,110538231124
370499612021050,110538231124
370499612021049,110538231124
370499612021048,110538231124
370499612021047,110538231124
370499612021046,110538231124
370499612021045,110538231124
370499612021044,110538231124
370499612021043,110538231124
370499612021042,110538231124
370499612021041,110538231124
370499612021040,110538231124
370499612021039,110538231124
370499612021038,110538231124
370499612021037,110538231124
370499612021036,110538231124
370499612021035,110538231124
370499612021034,110538231124
370499612021033,110538231124
370499612021032,110538231124
370499612021029,110538231124
370499613023002,110538231124
370499613023004,110538231124
370499613023005,110538231124
370499612021025,110538231124
370499612021024,110538231124
370499612021023,110538231124
370499613023016,110538231124
370499612021022,110538231124
370499612021021,110538231124
370499612021020,110538231124
370499612021019,110538231124
370499612021018,110538231124
370499612021017,110538231124
370499612021016,110538231124
370499612021015,110538231124
370499612021014,110538231124
370499612021013,110538231124
370499612021012,110538231124
370499613032026,110538231124
370499612021011,110538231124
370499613032029,110538231124
370499612021010,110538231124
370499613032031,110538231124
370499613032032,110538231124
370499613032033,110538231124
370499612021009,110538231124
370499612021008,110538231124
370499612021007,110538231124
370499612021006,110538231124
370499612021005,110538231124
370499612021004,110538231124
370499612021003,110538231124
370499613032042,110538231124
370499612021002,110538231124
370499612021001,110538231124
370499613032047,110538231124
370499612021000,110538231124
370499612013021,110538231124
370499612013020,110538231124
370499612013019,110538231124
370499612013018,110538231124
370499612013017,110538231124
370499612013016,110538231124
370499612013015,110538231124
370499612013014,110538231124
370499612013013,110538231124
370499612013012,110538231124
370499612013011,110538231124
370499612013010,110538231124
370499612013009,110538231124
370499612013008,110538231124
370499612013007,110538231124
370499612013006,110538231124
370499612013005,110538231124
370499612013004,110538231124
370499612013003,110538231124
370499612013002,110538231124
370499612013001,110538231124
370510034012000,11020448814
370510034013000,11020448814
370510034013001,11020448814
370510034013002,11020448814
370510034013003,11020448814
370510034013004,11020448814
370510034013005,11020448814
370510034013006,11020448814
370510034013007,11020448814
370510034013008,11020448814
370510034013009,11020448814
370510034013010,11020448814
370510034013011,11020448814
370510034013012,11020448814
370510034013013,11020448814
370510034013014,11020448814
370510034013015,11020448814
370510034013016,11020448814
370510034013017,11020448814
370510034013018,11020448814
370510034013019,11020448814
370510034013020,11020448814
370510034013021,11020448814
370510034013022,11020448814
370510034013023,11020448814
370510034013024,11020448814
370510034013025,11020448814
370510034013026,11020448814
370510034013027,11020448814
370510034013028,11020448814
370510034013029,11020448814
370510034013030,11020448814
370510034013031,11020448814
370510034013033,11020448814
370510034013034,11020448814
370510034013035,11020448814
370510034013036,11020448814
370510034013037,11020448814
370510034013038,11020448814
370510034013039,11020448814
370510034013040,11020448814
370510034013041,11020448814
370510034013042,11020448814
370510034013043,11020448814
370510034013044,11020448814
370510034013045,11020448814
370510034013046,11020448814
370510034013047,11020448814
370510034013048,11020448814
370510034013049,11020448814
370510034013050,11020448814
370510034013051,11020448814
370510034013052,11020448814
370510034013053,11020448814
